STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/29/2016,0.23,0,0,71,60
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/30/2016,5.59,0,0,64,59
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/1/2016,0.17,0,0,63,56
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/2/2016,0.04,0,0,63,57
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/3/2016,0,0,0,66,59
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/4/2016,0,0,0,76,59
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/5/2016,0,0,0,67,59
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/6/2016,0,0,0,70,55
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/7/2016,0,0,0,74,54
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/8/2016,0,0,0,76,55
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/9/2016,0.89,0,0,67,60
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/10/2016,0,0,0,65,52
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/11/2016,0,0,0,65,46
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/12/2016,0,0,0,66,47
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/13/2016,0,0,0,71,50
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/14/2016,0,0,0,68,54
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/15/2016,0,0,0,66,48
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/16/2016,0,0,0,69,45
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/17/2016,0,0,0,72,52
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/18/2016,0,0,0,84,60
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/19/2016,0,0,0,84,65
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/20/2016,0,0,0,87,68
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/21/2016,0,0,0,80,64
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/22/2016,0.4,0,0,82,57
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/23/2016,0,0,0,57,49
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/24/2016,0,0,0,65,46
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/25/2016,0,0,0,65,47
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/26/2016,0,0,0,55,45
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/27/2016,0,0,0,53,38
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/28/2016,0.33,0,0,60,44
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/29/2016,0,0,0,59,45
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/30/2016,0,0,0,68,42
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",10/31/2016,0.25,,,68,42
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/1/2016,0,0,0,58,41
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/2/2016,0,0,0,60,41
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/3/2016,0,0,0,70,53
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/4/2016,0,0,0,72,57
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/5/2016,0,0,0,61,50
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/6/2016,0,0,0,66,43
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/7/2016,0,0,0,63,44
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/8/2016,0,0,0,57,39
